author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
1544151176,2022-10-12 11:17:35+00:00, ,1.58E+18,en,0,0,0,0,Twitter for Android,@EmiratesSupport Thank you for your quick response. I have sent the required information.
128183810,2022-10-12 11:14:33+00:00, ,1.58E+18,en,0,0,0,1,Twitter for Android,RT @smartykapu: @EmiratesSupport We have already Send our formal complaint.. Waiting for your revert..
66006408,2022-10-12 10:56:58+00:00, ,1.58E+18,en,0,0,0,0,Twitter for iPhone,"@EmiratesSupport So being silver member where I have complimentary seat selection, I am restricted to select seats? https://t.co/FLVE2Xu3uY"
304316064,2022-10-12 10:26:11+00:00, ,1.58E+18,en,1,1,0,0,Twitter for Android,"@EmiratesSupport @emirates have attempted booking a flight online 3x- all transactions showing up as ""failed"" on the website however it has been charged to the account? Please help"
1.17E+18,2022-10-12 10:01:02+00:00, ,1.58E+18,en,0,0,0,0,Twitter for Android,@EmiratesSupport did thanks
435665635,2022-10-12 09:56:40+00:00, ,1.58E+18,en,0,0,1,0,Twitter for iPhone,"@EmiratesSupport extremely disappointed by the poor customer service offered by Emirates.
Response time and lack of communication is appalling. Perhaps you could DM me to help rectify this."
396047296,2022-10-12 08:49:13+00:00, ,1.58E+18,en,0,0,0,0,Twitter for iPhone,@EmiratesSupport Please reply to DM
583210050,2022-10-12 08:49:11+00:00, ,1.58E+18,en,0,0,1,0,Twitter for Android,"@EmiratesSupport Hi, can you please help me, Andrijana on WhatsApp support is not listening to what I am trying to tell her and being very unhelpful. I've been travelling 20+ hours and I'm tired! Can I speak to someone helpful please?! 🙏🏾"
396047296,2022-10-12 08:48:27+00:00, ,1.58E+18,en,0,0,0,0,Twitter for iPhone,"@EmiratesSupport Please reply, the complaint was uploaded two months ago and no response"
44048805,2022-10-12 08:38:48+00:00, ,1.58E+18,en,0,0,0,0,Twitter for iPhone,"@EmiratesSupport Hi Ive already submitted on the night of my arrival, I still have not received any reply."
19555252,2022-10-12 07:28:51+00:00, ,1.58E+18,en,0,0,0,0,Twitter for iPhone,@EmiratesSupport Thank you
134525908,2022-10-12 06:07:29+00:00,70957ac3123b3249,1.58E+18,en,0,0,0,0,Twitter for iPhone,"@EmiratesSupport Hello team, I have just received an acknowledgment on email. That’s all. No further details from your team yet. I know you will be handling thousands of such issues but can you please hint on a rough timeline when my case will be resolved. Thanks 🙏🏻"
175415017,2022-10-12 05:11:13+00:00, ,1.58E+18,en,0,0,0,0,Twitter for Android,"@EmiratesSupport 
I am planning to travel from Johannesburg,SA to Hyderabad, India and I am vaccinated. 
Can you please confirm still require covid test for my Travel"
1.58E+18,2022-10-12 01:15:09+00:00, ,1.58E+18,en,0,0,0,0,Twitter Web App,"@EmiratesSupport Thanks for replying! I went to the link you shared and it took me to the help webpage but with no option to send a DM. There’s options like baggage, Dubai connect etc. How do I send you the info requested?"
1.07E+18,2022-10-11 23:51:44+00:00, ,1.58E+18,en,0,0,1,0,Twitter Web App,@EmiratesSupport extremely poor service….. nit going to recommend anyone instead discourage everyone from flying Emirates in future
1.07E+18,2022-10-11 23:50:47+00:00, ,1.58E+18,en,0,0,0,0,Twitter Web App,@EmiratesSupport how can you not have charging points especially when it is known that T2 of dubai airport has disabled charging points all over
1.07E+18,2022-10-11 23:49:41+00:00, ,1.58E+18,en,0,0,0,0,Twitter Web App,@EmiratesSupport where was the ‘luxury’ experience that emirates promises? It was as if they decided to send us back in their oldest ever aircraft
1.07E+18,2022-10-11 23:48:28+00:00, ,1.58E+18,en,0,0,0,0,Twitter Web App,@EmiratesSupport pathetic experience on return flight EK -2124 from Dubai to New Delhi at 22:15 pm on 9 oct…. Flight was delayed… had no charger… no inhouse entertainment device.. no blankets…food was worse than domestic airlines
1.44E+18,2022-10-11 23:10:35+00:00, ,1.58E+18,en,1,0,2,0,Twitter Web App,@EmiratesSupport need help getting into skywards account
1.01E+18,2022-10-11 22:53:10+00:00, ,1.58E+18,en,0,0,0,0,Twitter for Android,@EmiratesSupport sorry to say what it mean emirates support for what when people ask help from ground staff they didn't in which dept of emirates I had send emails tweet when arrive on 27th Feb 2019 duty manager ground staff from hyd to dubai no one help till today even ceo also
1.50E+18,2022-10-11 18:49:40+00:00, ,1.58E+18,en,0,0,0,0,Twitter Web App,@EmiratesSupport @emirates worst customer service of any airline I have dealt with. No answers on refund request for delayed and lost baggage. Filing a complaint with the Department of Transportation next if no response.
1.17E+18,2022-10-11 16:29:25+00:00, ,1.58E+18,en,0,0,1,0,Twitter for Android,@EmiratesSupport I emailed my complaint a couple of times with no successful reply
392343143,2022-10-11 13:48:40+00:00, ,1.58E+18,en,0,0,2,0,Twitter for iPhone,"@EmiratesSupport hi, your pet form wasn’t working online. Can you transport a small cat on the Dubai-Yangon route operated by Emirates and Bangkok Airlines? Thanks"
1.58E+18,2022-10-11 13:30:55+00:00, ,1.58E+18,en,1,0,0,0,Twitter Web App,"@EmiratesSupport I’m a caregiver to my elderly sick mom who has cancer. Her wish is to do Umrah. To fly she needs a lay flat seat cuz she’s always in pain, tired &amp; needs to lie down. Need help getting an affordable lay flat seat in Business/First Class to get to Mecca. Expensive"
3397083453,2022-10-11 12:20:21+00:00, ,1.58E+18,en,0,0,1,0,Twitter Web App,@EmiratesSupport PLEASE would someone answer the phone in London????  I have been on hold for TOOOO LONG!!!
1.06E+18,2022-10-11 12:08:31+00:00, ,1.58E+18,en,0,0,1,0,Twitter Web App,"@EmiratesSupport  
Hi, just wondering how much does Emirates charge for extra luggage per kg. I am traveling from Chennai to Ireland."
1544151176,2022-10-11 11:06:26+00:00, ,1.58E+18,en,0,0,1,0,Twitter for Android,@EmiratesSupport Hi. I tried to join your skywards program but filled in my name incorrectly and can't change it. I was told to use Live Chat but have been trying for almost 2 months and it is always busy and telling me to come back later and try again. Help please.
1.58E+18,2022-10-11 10:44:37+00:00, ,1.58E+18,en,0,0,0,0,Twitter for iPhone,@EmiratesSupport Hi I have a Partner Visa from UAQ FTZ. What is the new time limit to stay out of UAE for such Visa holders?
150044714,2022-10-11 09:56:20+00:00, ,1.58E+18,en,0,0,1,0,Twitter for Android,@EmiratesSupport have submitted 2 complaints since the start of October. Any chance someone could respond to these emails?
